projectName,status,type,carpetArea,price,balcony,bathrooms,furnishedType,landmark,fullAddress,pincode,slug,possessionDate,listingType,floorPlanImage
Arkade Prime,UNDER_CONSTRUCTION,1BHK,425.39,12000000,1.0,1,UNFURNISHED,Criticare Hospital,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",400059,luxury-arkade-prime-ashoknagar-chembur-mumbai-906049,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900104-d2b27e1086902c25.jpg
Arkade Prime,UNDER_CONSTRUCTION,2BHK,589.43,17000000,2.0,2,UNFURNISHED,Criticare Hospital,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",400059,luxury-arkade-prime-ashoknagar-chembur-mumbai-906049,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900105-92746a06993e21a1.jpg
Arkade Prime,UNDER_CONSTRUCTION,Office space,710.63,21000000,1.0,1,UNFURNISHED,Criticare Hospital,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",400059,luxury-arkade-prime-ashoknagar-chembur-mumbai-906049,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900106-2052b7fd49a2faaa.jpg
Glory,UNDER_CONSTRUCTION,2BHK,835.0,67000000,2.0,0,UNFURNISHED, Sarai Sport Acadamy," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",411033,luxury-glory-katewasti-punawale-pune-268353,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263429-b34f6e00dad04cee.jpg
Glory,UNDER_CONSTRUCTION,3BHK,1064.0,86000000,2.0,3,UNFURNISHED, Sarai Sport Acadamy," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",411033,luxury-glory-katewasti-punawale-pune-268353,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263442-37973fcf73632905.jpg
Glory,UNDER_CONSTRUCTION,3BHK,1185.0,96000000,2.0,3,UNFURNISHED, Sarai Sport Acadamy," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",411033,luxury-glory-katewasti-punawale-pune-268353,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263444-42b0f4d7ba7315d4.jpg
Antriksh,UNDER_CONSTRUCTION,1BHK,269.1,5649000,1.0,1,UNFURNISHED,Station Road Saraswat Colony,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",411011,luxury-antriksh-somwarpeth-camp-pune-997560,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991474-f7da47510a2039a9.jpeg
Antriksh,UNDER_CONSTRUCTION,2BHK,685.0,14300000,2.0,2,UNFURNISHED,Station Road Saraswat Colony,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",411011,luxury-antriksh-somwarpeth-camp-pune-997560,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991488-c0b949b98960c0ed.jpg
Antriksh,UNDER_CONSTRUCTION,2BHK,900.0,18900000,1.0,2,UNFURNISHED,Station Road Saraswat Colony,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",411011,luxury-antriksh-somwarpeth-camp-pune-997560,,Sell,
Antriksh,UNDER_CONSTRUCTION,3BHK,1095.0,22900000,2.0,3,UNFURNISHED,Station Road Saraswat Colony,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",411011,luxury-antriksh-somwarpeth-camp-pune-997560,,Sell,https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757486991499-74fa17a4c97985e2.jpg
